Mood,Tamil Song,Tamil Movie,Travel Location,Famous Places,Famous Hotels with Price,Food,Book
Happy,Ullam Urugudhaiya,Minnale,Kodaikanal,"Aguada Fort, Dudhsagar Falls, Baga Beach",Wildflower Hall (₹13000/night),Ice Cream,Atomic Habits
Happy,Munbe Vaa,Thani Oruvan,Kodaikanal,"Aguada Fort, Dudhsagar Falls, Baga Beach",Taj Exotica (₹12000/night),Ice Cream,Atomic Habits
Calm,Munbe Vaa,Minnale,Goa,"Doddabetta Peak, Ooty Lake, Botanical Garden",The Leela (₹15000/night),Ice Cream,Big Magic
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",Manu Allaya Resort (₹7500/night),Samosa,The Alchemist
Calm,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",The Carlton (₹8000/night),Pasta,Big Magic
Calm,Ullam Urugudhaiya,Deiva Thirumagal,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Tea County (₹7000/night),Pasta,Atomic Habits
Adventurous,Ullam Urugudhaiya,Thani Oruvan,Munnar,"Aguada Fort, Baga Beach, Dudhsagar Falls",Sterling Kodai Lake (₹6000/night),Samosa,Big Magic
Romantic,Munbe Vaa,Thani Oruvan,Kodaikanal,"Hadimba Temple, Solang Valley, Rohtang Pass",Taj Exotica (₹12000/night),Ice Cream,Big Magic
Calm,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Aguada Fort, Dudhsagar Falls, Baga Beach",The Leela (₹15000/night),Pasta,The Alchemist
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Ooty,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Savoy (₹10500/night),Ice Cream,Atomic Habits
Calm,Munbe Vaa,Thani Oruvan,Manali,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Sapiens
Calm,Nenjukkul Peidhidum,Vaaranam Aayiram,Kodaikanal,"Doddabetta Peak, Ooty Lake, Botanical Garden",Sterling Kodai Lake (₹6000/night),Pasta,Ikigai
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Manu Allaya Resort (₹7500/night),Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Ooty,"Coaker's Walk, Pillar Rocks, Bryant Park",Tea County (₹7000/night),Ice Cream,Ikigai
Adventurous,Nenjukkul Peidhidum,Thani Oruvan,Goa,"Pillar Rocks, Bryant Park, Coaker's Walk",Taj Exotica (₹12000/night),Samosa,Atomic Habits
Romantic,Ullam Urugudhaiya,Minnale,Manali,"Solang Valley, Rohtang Pass, Hadimba Temple",Wildflower Hall (₹13000/night),Chocolate Ice Cream,Big Magic
Happy,Nenjukkul Peidhidum,Vaaranam Aayiram,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Wildflower Hall (₹13000/night),Chocolate Ice Cream,The Alchemist
Happy,Ullam Urugudhaiya,Thani Oruvan,Munnar,"Dudhsagar Falls, Baga Beach, Aguada Fort",Savoy Ooty (₹9000/night),Samosa,Ikigai
Happy,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Munnar,"Hadimba Temple, Solang Valley, Rohtang Pass",Taj Exotica (₹12000/night),Ice Cream,Big Magic
Romantic,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Hadimba Temple, Rohtang Pass, Solang Valley",Span Resort & Spa (₹10000/night),Ice Cream,Big Magic
Adventurous,Nenjukkul Peidhidum,Thani Oruvan,Ooty,"Botanical Garden, Doddabetta Peak, Ooty Lake",The Leela (₹15000/night),Pizza,Big Magic
Adventurous,Ullam Urugudhaiya,Minnale,Manali,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Pizza,Sapiens
Adventurous,Munbe Vaa,Minnale,Shimla,"Solang Valley, Rohtang Pass, Hadimba Temple",Wildflower Hall (₹13000/night),Chocolate Ice Cream,The Alchemist
Romantic,Ullam Urugudhaiya,Minnale,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Sterling Kodai Lake (₹6000/night),Ice Cream,Ikigai
Romantic,Ullam Urugudhaiya,Minnale,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Sterling Kodai Lake (₹6000/night),Samosa,The Alchemist
Happy,Munbe Vaa,Thani Oruvan,Goa,"Doddabetta Peak, Ooty Lake, Botanical Garden",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Atomic Habits
Happy,Ullam Urugudhaiya,Minnale,Goa,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Exotica (₹12000/night),Samosa,The Alchemist
Adventurous,Munbe Vaa,Thani Oruvan,Shimla,"Doddabetta Peak, Botanical Garden, Ooty Lake",Sterling Kodai Lake (₹6000/night),Pasta,Sapiens
Happy,Ullam Urugudhaiya,Sillunu Oru Kadhal,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Wildflower Hall (₹13000/night),Ice Cream,Sapiens
Calm,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Bryant Park, Coaker's Walk, Pillar Rocks",Wildflower Hall (₹13000/night),Ice Cream,Big Magic
Calm,Nenjukkul Peidhidum,Minnale,Goa,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Tea County (₹7000/night),Ice Cream,Big Magic
Happy,Munbe Vaa,Vaaranam Aayiram,Kodaikanal,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Fragrant Nature (₹8500/night),Samosa,Ikigai
Calm,Ullam Urugudhaiya,Azhagiya Tamil Magan,Manali,"Botanical Garden, Doddabetta Peak, Ooty Lake",Sterling Kodai Lake (₹6000/night),Ice Cream,The Alchemist
Romantic,Ullam Urugudhaiya,Minnale,Manali,"Mall Road, Kufri, Jakhoo Temple",Tea County (₹7000/night),Ice Cream,Ikigai
Romantic,Ullam Urugudhaiya,Thani Oruvan,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Tea County (₹7000/night),Ice Cream,The Alchemist
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Goa,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Savoy (₹10500/night),Ice Cream,Atomic Habits
Calm,Ullam Urugudhaiya,Azhagiya Tamil Magan,Ooty,"Pillar Rocks, Bryant Park, Coaker's Walk",Taj Savoy (₹10500/night),Biryani,Sapiens
Adventurous,Ullam Urugudhaiya,Minnale,Kodaikanal,"Mall Road, Kufri, Jakhoo Temple",Span Resort & Spa (₹10000/night),Ice Cream,Atomic Habits
Romantic,Nenjukkul Peidhidum,Thani Oruvan,Goa,"Doddabetta Peak, Ooty Lake, Botanical Garden",Sterling Kodai Lake (₹6000/night),Biryani,Big Magic
Happy,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Dudhsagar Falls, Baga Beach, Aguada Fort",Manu Allaya Resort (₹7500/night),Samosa,Ikigai
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Ooty,"Dudhsagar Falls, Baga Beach, Aguada Fort",The Leela (₹15000/night),Chocolate Ice Cream,Big Magic
Happy,Munbe Vaa,Vaaranam Aayiram,Kodaikanal,"Aguada Fort, Dudhsagar Falls, Baga Beach",Span Resort & Spa (₹10000/night),Ice Cream,Atomic Habits
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Manali,"Baga Beach, Aguada Fort, Dudhsagar Falls",Taj Savoy (₹10500/night),Chocolate Ice Cream,Ikigai
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Wildflower Hall (₹13000/night),Samosa,Ikigai
Happy,Munbe Vaa,Minnale,Ooty,"Hadimba Temple, Solang Valley, Rohtang Pass",Savoy Ooty (₹9000/night),Samosa,Ikigai
Adventurous,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Span Resort & Spa (₹10000/night),Chocolate Ice Cream,Sapiens
Happy,Nenjukkul Peidhidum,Minnale,Ooty,"Aguada Fort, Dudhsagar Falls, Baga Beach",The Leela (₹15000/night),Pizza,Big Magic
Romantic,Munbe Vaa,Minnale,Kodaikanal,"Bryant Park, Coaker's Walk, Pillar Rocks",Wildflower Hall (₹13000/night),Ice Cream,Big Magic
Adventurous,Ullam Urugudhaiya,Sillunu Oru Kadhal,Manali,"Hadimba Temple, Solang Valley, Rohtang Pass",Wildflower Hall (₹13000/night),Biryani,Ikigai
Calm,Munbe Vaa,Minnale,Shimla,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Pizza,Atomic Habits
Adventurous,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Taj Savoy (₹10500/night),Pizza,The Alchemist
Happy,Munbe Vaa,Deiva Thirumagal,Munnar,"Hadimba Temple, Solang Valley, Rohtang Pass",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Big Magic
Happy,Munbe Vaa,Azhagiya Tamil Magan,Manali,"Tea Gardens, Mattupetty Dam, Eravikulam National Park",Manu Allaya Resort (₹7500/night),Biryani,Sapiens
Romantic,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Wildflower Hall (₹13000/night),Biryani,Big Magic
Happy,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Solang Valley, Rohtang Pass, Hadimba Temple",Span Resort & Spa (₹10000/night),Biryani,Big Magic
Calm,Ullam Urugudhaiya,Thani Oruvan,Manali,"Doddabetta Peak, Ooty Lake, Botanical Garden",Span Resort & Spa (₹10000/night),Biryani,Ikigai
Happy,Ullam Urugudhaiya,Thani Oruvan,Munnar,"Mall Road, Kufri, Jakhoo Temple",Wildflower Hall (₹13000/night),Pizza,Ikigai
Happy,Munbe Vaa,Minnale,Manali,"Kufri, Jakhoo Temple, Mall Road",Taj Exotica (₹12000/night),Chocolate Ice Cream,Atomic Habits
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Coaker's Walk, Pillar Rocks, Bryant Park",Sterling Kodai Lake (₹6000/night),Pasta,The Alchemist
Romantic,Munbe Vaa,Minnale,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",The Carlton (₹8000/night),Ice Cream,Big Magic
Adventurous,Ullam Urugudhaiya,Thani Oruvan,Shimla,"Coaker's Walk, Pillar Rocks, Bryant Park",Manu Allaya Resort (₹7500/night),Pasta,Atomic Habits
Adventurous,Munbe Vaa,Sillunu Oru Kadhal,Goa,"Kufri, Jakhoo Temple, Mall Road",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Big Magic
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Ooty,"Ooty Lake, Doddabetta Peak, Botanical Garden",Span Resort & Spa (₹10000/night),Pizza,Atomic Habits
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Goa,"Solang Valley, Rohtang Pass, Hadimba Temple",The Carlton (₹8000/night),Pasta,The Alchemist
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Pillar Rocks, Coaker's Walk, Bryant Park",Manu Allaya Resort (₹7500/night),Pasta,Ikigai
Happy,Ullam Urugudhaiya,Minnale,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",Savoy Ooty (₹9000/night),Samosa,Atomic Habits
Happy,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Doddabetta Peak, Botanical Garden, Ooty Lake",Span Resort & Spa (₹10000/night),Biryani,Atomic Habits
Calm,Ullam Urugudhaiya,Minnale,Goa,"Aguada Fort, Dudhsagar Falls, Baga Beach",The Leela (₹15000/night),Chocolate Ice Cream,Sapiens
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",Taj Exotica (₹12000/night),Samosa,Atomic Habits
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Manali,"Doddabetta Peak, Ooty Lake, Botanical Garden",Sterling Kodai Lake (₹6000/night),Biryani,Ikigai
Calm,Munbe Vaa,Vaaranam Aayiram,Manali,"Botanical Garden, Doddabetta Peak, Ooty Lake",Span Resort & Spa (₹10000/night),Chocolate Ice Cream,Big Magic
Romantic,Munbe Vaa,Vaaranam Aayiram,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Savoy Ooty (₹9000/night),Samosa,Big Magic
Happy,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Savoy (₹10500/night),Ice Cream,Big Magic
Romantic,Munbe Vaa,Deiva Thirumagal,Manali,"Kufri, Jakhoo Temple, Mall Road",Fragrant Nature (₹8500/night),Samosa,Atomic Habits
Calm,Nenjukkul Peidhidum,Minnale,Ooty,"Dudhsagar Falls, Baga Beach, Aguada Fort",Savoy Ooty (₹9000/night),Samosa,Ikigai
Adventurous,Munbe Vaa,Deiva Thirumagal,Goa,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Exotica (₹12000/night),Pasta,Ikigai
Calm,Munbe Vaa,Sillunu Oru Kadhal,Ooty,"Pillar Rocks, Coaker's Walk, Bryant Park",Fragrant Nature (₹8500/night),Chocolate Ice Cream,Atomic Habits
Calm,Ullam Urugudhaiya,Thani Oruvan,Kodaikanal,"Aguada Fort, Baga Beach, Dudhsagar Falls",Fragrant Nature (₹8500/night),Ice Cream,Big Magic
Adventurous,Munbe Vaa,Minnale,Manali,"Doddabetta Peak, Botanical Garden, Ooty Lake",Sterling Kodai Lake (₹6000/night),Pasta,Ikigai
Calm,Munbe Vaa,Minnale,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Wildflower Hall (₹13000/night),Biryani,Ikigai
Calm,Nenjukkul Peidhidum,Thani Oruvan,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",Manu Allaya Resort (₹7500/night),Ice Cream,Big Magic
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Kodaikanal,"Coaker's Walk, Bryant Park, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Biryani,Big Magic
Calm,Ullam Urugudhaiya,Thani Oruvan,Manali,"Doddabetta Peak, Ooty Lake, Botanical Garden",Wildflower Hall (₹13000/night),Biryani,Big Magic
Calm,Ullam Urugudhaiya,Minnale,Shimla,"Doddabetta Peak, Ooty Lake, Botanical Garden",Span Resort & Spa (₹10000/night),Pasta,Atomic Habits
Adventurous,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Doddabetta Peak, Ooty Lake, Botanical Garden",Wildflower Hall (₹13000/night),Samosa,Atomic Habits
Adventurous,Ullam Urugudhaiya,Sillunu Oru Kadhal,Munnar,"Pillar Rocks, Coaker's Walk, Bryant Park",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Thani Oruvan,Ooty,"Dudhsagar Falls, Aguada Fort, Baga Beach",Manu Allaya Resort (₹7500/night),Biryani,Ikigai
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Manali,"Coaker's Walk, Pillar Rocks, Bryant Park",The Carlton (₹8000/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Minnale,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,Ikigai
Adventurous,Munbe Vaa,Vaaranam Aayiram,Munnar,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",The Carlton (₹8000/night),Pasta,Ikigai
Happy,Munbe Vaa,Vaaranam Aayiram,Ooty,"Hadimba Temple, Solang Valley, Rohtang Pass",Wildflower Hall (₹13000/night),Samosa,Ikigai
Happy,Ullam Urugudhaiya,Minnale,Munnar,"Botanical Garden, Doddabetta Peak, Ooty Lake",Wildflower Hall (₹13000/night),Samosa,Atomic Habits
Romantic,Ullam Urugudhaiya,Minnale,Kodaikanal,"Kufri, Jakhoo Temple, Mall Road",The Leela (₹15000/night),Chocolate Ice Cream,The Alchemist
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Coaker's Walk, Pillar Rocks, Bryant Park",Savoy Ooty (₹9000/night),Chocolate Ice Cream,The Alchemist
Romantic,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Ooty Lake, Doddabetta Peak, Botanical Garden",Taj Savoy (₹10500/night),Samosa,Ikigai
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Manali,"Solang Valley, Rohtang Pass, Hadimba Temple",Sterling Kodai Lake (₹6000/night),Pizza,Big Magic
Happy,Munbe Vaa,Deiva Thirumagal,Ooty,"Bryant Park, Pillar Rocks, Coaker's Walk",The Leela (₹15000/night),Ice Cream,Sapiens
Romantic,Munbe Vaa,Minnale,Kodaikanal,"Coaker's Walk, Bryant Park, Pillar Rocks",Taj Exotica (₹12000/night),Pasta,Big Magic
Adventurous,Munbe Vaa,Thani Oruvan,Ooty,"Kufri, Jakhoo Temple, Mall Road",Taj Exotica (₹12000/night),Pizza,Big Magic
Calm,Ullam Urugudhaiya,Minnale,Kodaikanal,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Sterling Kodai Lake (₹6000/night),Samosa,Ikigai
Calm,Nenjukkul Peidhidum,Thani Oruvan,Munnar,"Botanical Garden, Doddabetta Peak, Ooty Lake",Span Resort & Spa (₹10000/night),Biryani,Sapiens
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Manali,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Exotica (₹12000/night),Pizza,Big Magic
Adventurous,Munbe Vaa,Vaaranam Aayiram,Kodaikanal,"Dudhsagar Falls, Aguada Fort, Baga Beach",Taj Exotica (₹12000/night),Chocolate Ice Cream,Ikigai
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Munnar,"Kufri, Jakhoo Temple, Mall Road",Taj Savoy (₹10500/night),Samosa,Big Magic
Happy,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Kodaikanal,"Ooty Lake, Doddabetta Peak, Botanical Garden",Savoy Ooty (₹9000/night),Samosa,Ikigai
Happy,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Shimla,"Hadimba Temple, Rohtang Pass, Solang Valley",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Thani Oruvan,Ooty,"Solang Valley, Rohtang Pass, Hadimba Temple",Manu Allaya Resort (₹7500/night),Samosa,Big Magic
Romantic,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Coaker's Walk, Bryant Park, Pillar Rocks",The Carlton (₹8000/night),Biryani,Sapiens
Happy,Nenjukkul Peidhidum,Deiva Thirumagal,Goa,"Hadimba Temple, Solang Valley, Rohtang Pass",Sterling Kodai Lake (₹6000/night),Biryani,Atomic Habits
Happy,Ullam Urugudhaiya,Minnale,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Wildflower Hall (₹13000/night),Chocolate Ice Cream,Atomic Habits
Adventurous,Munbe Vaa,Azhagiya Tamil Magan,Munnar,"Solang Valley, Rohtang Pass, Hadimba Temple",The Leela (₹15000/night),Biryani,Atomic Habits
Calm,Nenjukkul Peidhidum,Thani Oruvan,Shimla,"Bryant Park, Pillar Rocks, Coaker's Walk",The Carlton (₹8000/night),Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Pillar Rocks, Coaker's Walk, Bryant Park",Span Resort & Spa (₹10000/night),Pizza,Ikigai
Adventurous,Nenjukkul Peidhidum,Deiva Thirumagal,Munnar,"Hadimba Temple, Solang Valley, Rohtang Pass",Sterling Kodai Lake (₹6000/night),Chocolate Ice Cream,The Alchemist
Adventurous,Munbe Vaa,Minnale,Goa,"Bryant Park, Coaker's Walk, Pillar Rocks",The Leela (₹15000/night),Samosa,Atomic Habits
Calm,Nenjukkul Peidhidum,Minnale,Goa,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Taj Exotica (₹12000/night),Biryani,Atomic Habits
Adventurous,Munbe Vaa,Deiva Thirumagal,Goa,"Pillar Rocks, Coaker's Walk, Bryant Park",Taj Exotica (₹12000/night),Chocolate Ice Cream,Sapiens
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Kodaikanal,"Bryant Park, Pillar Rocks, Coaker's Walk",Fragrant Nature (₹8500/night),Samosa,Atomic Habits
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Aguada Fort, Dudhsagar Falls, Baga Beach",Manu Allaya Resort (₹7500/night),Pasta,The Alchemist
Adventurous,Nenjukkul Peidhidum,Minnale,Kodaikanal,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Wildflower Hall (₹13000/night),Samosa,Sapiens
Adventurous,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Pillar Rocks, Bryant Park, Coaker's Walk",Savoy Ooty (₹9000/night),Pizza,Atomic Habits
Happy,Munbe Vaa,Sillunu Oru Kadhal,Manali,"Doddabetta Peak, Ooty Lake, Botanical Garden",Tea County (₹7000/night),Samosa,Big Magic
Adventurous,Munbe Vaa,Minnale,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,Ikigai
Happy,Ullam Urugudhaiya,Azhagiya Tamil Magan,Goa,"Coaker's Walk, Pillar Rocks, Bryant Park",Span Resort & Spa (₹10000/night),Pasta,Ikigai
Calm,Nenjukkul Peidhidum,Vaaranam Aayiram,Munnar,"Eravikulam National Park, Mattupetty Dam, Tea Gardens",Fragrant Nature (₹8500/night),Chocolate Ice Cream,Ikigai
Happy,Munbe Vaa,Deiva Thirumagal,Shimla,"Doddabetta Peak, Ooty Lake, Botanical Garden",The Carlton (₹8000/night),Pizza,Big Magic
Calm,Munbe Vaa,Minnale,Ooty,"Bryant Park, Coaker's Walk, Pillar Rocks",Taj Savoy (₹10500/night),Samosa,Ikigai
Happy,Nenjukkul Peidhidum,Minnale,Munnar,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Taj Savoy (₹10500/night),Biryani,The Alchemist
Calm,Munbe Vaa,Thani Oruvan,Manali,"Doddabetta Peak, Ooty Lake, Botanical Garden",Fragrant Nature (₹8500/night),Samosa,Sapiens
Happy,Munbe Vaa,Thani Oruvan,Kodaikanal,"Coaker's Walk, Bryant Park, Pillar Rocks",Span Resort & Spa (₹10000/night),Biryani,Big Magic
Adventurous,Munbe Vaa,Sillunu Oru Kadhal,Kodaikanal,"Pillar Rocks, Coaker's Walk, Bryant Park",Taj Exotica (₹12000/night),Pizza,Big Magic
Happy,Munbe Vaa,Vaaranam Aayiram,Kodaikanal,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Taj Exotica (₹12000/night),Samosa,Atomic Habits
Adventurous,Ullam Urugudhaiya,Deiva Thirumagal,Kodaikanal,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Samosa,Ikigai
Happy,Ullam Urugudhaiya,Thani Oruvan,Manali,"Hadimba Temple, Solang Valley, Rohtang Pass",Sterling Kodai Lake (₹6000/night),Pizza,Big Magic
Romantic,Ullam Urugudhaiya,Deiva Thirumagal,Goa,"Aguada Fort, Baga Beach, Dudhsagar Falls",Wildflower Hall (₹13000/night),Ice Cream,Ikigai
Romantic,Ullam Urugudhaiya,Thani Oruvan,Shimla,"Pillar Rocks, Bryant Park, Coaker's Walk",Wildflower Hall (₹13000/night),Pizza,Ikigai
Romantic,Ullam Urugudhaiya,Thani Oruvan,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Taj Exotica (₹12000/night),Biryani,Atomic Habits
Romantic,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Botanical Garden, Doddabetta Peak, Ooty Lake",Taj Exotica (₹12000/night),Pasta,Atomic Habits
Happy,Munbe Vaa,Sillunu Oru Kadhal,Munnar,"Botanical Garden, Doddabetta Peak, Ooty Lake",The Carlton (₹8000/night),Pasta,Big Magic
Adventurous,Munbe Vaa,Thani Oruvan,Manali,"Doddabetta Peak, Ooty Lake, Botanical Garden",Taj Savoy (₹10500/night),Ice Cream,Ikigai
Calm,Ullam Urugudhaiya,Deiva Thirumagal,Ooty,"Aguada Fort, Dudhsagar Falls, Baga Beach",Sterling Kodai Lake (₹6000/night),Biryani,Ikigai
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Munnar,"Hadimba Temple, Rohtang Pass, Solang Valley",Tea County (₹7000/night),Biryani,Ikigai
Calm,Munbe Vaa,Minnale,Manali,"Bryant Park, Pillar Rocks, Coaker's Walk",The Leela (₹15000/night),Pizza,Ikigai
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Ooty,"Doddabetta Peak, Ooty Lake, Botanical Garden",Taj Exotica (₹12000/night),Pizza,The Alchemist
Happy,Nenjukkul Peidhidum,Vaaranam Aayiram,Goa,"Aguada Fort, Dudhsagar Falls, Baga Beach",Manu Allaya Resort (₹7500/night),Samosa,Sapiens
Happy,Nenjukkul Peidhidum,Vaaranam Aayiram,Ooty,"Coaker's Walk, Bryant Park, Pillar Rocks",Fragrant Nature (₹8500/night),Ice Cream,Big Magic
Happy,Nenjukkul Peidhidum,Sillunu Oru Kadhal,Goa,"Kufri, Jakhoo Temple, Mall Road",Manu Allaya Resort (₹7500/night),Chocolate Ice Cream,Ikigai
Happy,Nenjukkul Peidhidum,Minnale,Goa,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Biryani,Big Magic
Romantic,Nenjukkul Peidhidum,Minnale,Goa,"Mall Road, Kufri, Jakhoo Temple",Sterling Kodai Lake (₹6000/night),Pasta,Atomic Habits
Adventurous,Nenjukkul Peidhidum,Vaaranam Aayiram,Goa,"Tea Gardens, Eravikulam National Park, Mattupetty Dam",Savoy Ooty (₹9000/night),Pizza,Sapiens
Adventurous,Nenjukkul Peidhidum,Minnale,Shimla,"Bryant Park, Coaker's Walk, Pillar Rocks",Sterling Kodai Lake (₹6000/night),Ice Cream,Atomic Habits
Romantic,Munbe Vaa,Deiva Thirumagal,Kodaikanal,"Botanical Garden, Doddabetta Peak, Ooty Lake",Span Resort & Spa (₹10000/night),Samosa,Sapiens
Calm,Nenjukkul Peidhidum,Azhagiya Tamil Magan,Kodaikanal,"Hadimba Temple, Rohtang Pass, Solang Valley",Sterling Kodai Lake (₹6000/night),Biryani,Atomic Habits
Calm,Ullam Urugudhaiya,Vaaranam Aayiram,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",Span Resort & Spa (₹10000/night),Pasta,The Alchemist
Happy,Munbe Vaa,Minnale,Kodaikanal,"Coaker's Walk, Pillar Rocks, Bryant Park",Manu Allaya Resort (₹7500/night),Samosa,Big Magic
Happy,Ullam Urugudhaiya,Vaaranam Aayiram,Goa,"Coaker's Walk, Pillar Rocks, Bryant Park",Sterling Kodai Lake (₹6000/night),Samosa,Atomic Habits
Calm,Munbe Vaa,Deiva Thirumagal,Manali,"Bryant Park, Coaker's Walk, Pillar Rocks",Taj Exotica (₹12000/night),Samosa,Ikigai
Calm,Munbe Vaa,Deiva Thirumagal,Ooty,"Pillar Rocks, Coaker's Walk, Bryant Park",The Carlton (₹8000/night),Biryani,Ikigai
Happy,Munbe Vaa,Thani Oruvan,Kodaikanal,"Solang Valley, Rohtang Pass, Hadimba Temple",Taj Exotica (₹12000/night),Pizza,Big Magic
Happy,Munbe Vaa,Thani Oruvan,Ooty,"Coaker's Walk, Bryant Park, Pillar Rocks",Fragrant Nature (₹8500/night),Samosa,Ikigai
